location,price,total_sqft,No. of Bedrooms,School,24X7Security,CarParking,Hospital,LiftAvailable
Masab Tank,4299000,840,2,0,0,0,0,0
Zamistanpur,4750000,1100,2,0,0,0,0,0
Madhura Nagar,4200000,931,2,0,0,1,0,1
Jubilee Hills,12500000,1670,3,0,0,0,0,0
Kukatpally,12000000,2000,3,0,1,1,0,1
Kukatpally,12000000,2000,3,0,1,1,0,1
Miyapur,8298999,1554,3,0,0,0,0,0
Miyapur,8898000,1650,3,0,0,0,0,0
Miyapur,7998999,1554,3,0,0,0,0,0
Jubilee Hills,23000000,1900,3,0,1,1,0,1
Jubilee Hills,22900000,1900,3,0,1,1,0,1
Jubilee Hills,23000000,1900,3,0,0,0,0,0
Jubilee Hills,23000000,1900,3,0,1,1,0,1
Kukatpally,14500000,1740,3,0,1,1,0,1
Madhapur,20000000,3145,3,0,1,0,0,0
Beeramguda,2800000,963,2,0,0,0,0,0
Ghansi Bazaar,3500000,909,3,0,0,0,0,0
Chintalakunta,3500000,850,2,0,0,0,0,0
Chinthal Basthi,4700000,950,2,0,0,0,0,0
Kukatpally,11399999,1730,3,0,0,0,0,0
Gajularamaram,6931000,1555,3,0,0,0,0,0
Gajularamaram,5256000,1180,2,0,0,0,0,1
Kukatpally,11100000,1675,3,0,0,0,0,1
Nallakunta,5300000,845,2,0,0,0,0,0
Bowenpally,4500000,1100,2,0,0,0,0,1
Nallakunta,14600000,1905,3,0,0,0,0,1
Nallakunta,11200000,1460,3,0,0,0,0,1
Nallakunta,11200000,1460,3,0,0,0,0,0
Malkajgiri,4200000,1175,2,0,0,0,0,0
Kompally,4900000,1360,2,0,1,1,0,1
Kondapur,7554000,1220,2,0,1,1,0,1
Kondapur,11399999,1885,3,0,1,1,0,1
Kondapur,7240000,1165,2,0,1,1,0,1
Jubilee Hills,9600000,1295,2,0,0,0,0,0
Jubilee Hills,9600000,1295,2,0,0,0,0,0
Jubilee Hills,9600000,1295,2,0,0,0,0,0
Jubilee Hills,9600000,1295,2,0,0,0,0,0
Jubilee Hills,9600000,1295,2,0,0,0,0,0
Jubilee Hills,10200000,1295,2,0,0,0,0,0
Jubilee Hills,12500000,1670,3,0,0,0,0,0
Jubilee Hills,12500000,1670,3,0,0,0,0,0
Bandlaguda Jagir,4800000,1200,2,0,0,0,0,0
Bandlaguda Jagir,4800000,1200,2,0,0,0,0,0
Jubilee Hills,12500000,1670,3,0,0,0,0,0
Nanakramguda,16800000,2460,3,0,1,1,0,1
Saroornagar,4000000,1040,2,0,0,0,0,1
Beeramguda,3600000,1107,2,0,0,0,0,1
Begumpet,6000000,1050,2,0,0,0,0,0
Begumpet,6000000,1050,2,0,0,0,0,1
Banjara Hills,33300000,2900,3,0,0,0,0,1
Hitech City,8625000,1150,2,0,0,0,0,1
Saroornagar,4000000,1040,2,0,0,0,0,1
Beeramguda,3600000,1107,2,0,0,0,0,1
Beeramguda,4000000,850,2,0,0,0,0,1
Begumpet,6000000,1050,2,0,0,0,0,0
Begumpet,6000000,1050,2,0,0,0,0,1
Beeramguda,3500000,1080,2,0,0,0,0,1
Beeramguda,3500000,1080,2,0,0,0,0,0
Boduppal,2300000,1100,2,0,0,0,0,0
Boduppal,2300000,1100,2,0,0,0,0,0
Somajiguda,12000000,1745,3,0,0,1,0,0
Nagole,2500000,970,2,0,0,0,0,0
Kukatpally,5777000,1090,2,0,1,1,0,1
Kukatpally,7605000,1435,3,0,0,0,0,1
Beeramguda,2600000,684,1,0,0,0,0,0
Beeramguda,4500000,1040,2,0,0,0,0,1
Beeramguda,3000000,850,2,0,0,0,0,1
Beeramguda,3200000,1150,2,0,0,0,0,1
Neknampur,7000000,1605,3,0,0,0,0,1
Beeramguda,3000000,850,2,0,0,0,0,1
Beeramguda,3200000,1150,2,0,0,0,0,1
Neknampur,7000000,1605,3,0,0,0,0,1
Mallapur,5500000,1000,2,0,0,0,0,1
Kukatpally,5777000,1090,2,0,1,1,0,1
Kukatpally,7605000,1435,3,0,0,0,0,1
Nagole,8502000,1635,3,0,1,1,0,1
Nagole,8242000,1585,3,0,1,1,0,1
Appa Junction Peerancheru,11000000,1730,3,0,1,1,0,1
Appa Junction Peerancheru,10700000,1665,3,0,1,1,0,1
Appa Junction Peerancheru,9240000,1482,2,0,1,1,0,1
Appa Junction Peerancheru,8800000,1385,2,0,1,1,0,1
Ambedkar Nagar,3400000,1000,2,0,0,0,0,0
Gachibowli,9500000,1035,2,0,1,1,0,1
Toli Chowki,4700000,1250,2,0,0,0,0,1
Toli Chowki,4700000,1250,2,0,0,0,0,1
Hafeezpet,5000000,1000,2,0,0,1,0,1
Saroornagar,4788000,1260,2,0,0,0,0,1
Beeramguda,2880000,950,2,0,0,0,0,0
Gachibowli,5500000,850,2,0,0,0,0,1
Nanakramguda,8500000,1260,2,0,1,1,0,1
Saroornagar,5500000,1050,2,0,0,0,0,1
Bachupally,4400000,1250,2,0,1,1,0,1
Kondapur,14000000,1908,3,0,0,0,0,1
Gajularamaram,6931000,1555,3,0,0,0,0,0
Narsingi,12000000,1720,3,0,1,1,0,1
Rajendra Nagar,7540000,1327,3,0,1,1,0,1
Rajendra Nagar,6290000,1110,3,0,1,1,0,1
Rajendra Nagar,5290000,941,2,0,1,1,0,1
Boduppal,5580000,1200,2,0,0,0,0,1
Manikonda,4300000,1200,1,0,0,0,0,1
Vanasthalipuram,5560000,1390,3,0,0,0,0,1
Amberpet,2400000,540,1,0,0,0,0,0
Gachibowli,12500000,1717,2,0,1,1,0,1
Gachibowli,12500000,1717,2,0,1,1,0,1
Mehdipatnam,3570000,900,2,0,0,0,0,1
Bandlaguda Jagir,12600000,2150,3,1,1,1,1,1
Moula Ali,4800000,810,2,0,0,1,0,1
Bandlaguda Jagir,11600000,1985,3,1,1,1,1,1
Kondapur,9563000,1555,3,0,1,1,0,1
Moula Ali,4800000,810,2,0,0,1,0,1
Bandlaguda Jagir,11600000,1985,3,1,1,1,1,1
Kondapur,9563000,1555,3,0,1,1,0,1
Mehdipatnam,3600000,1050,2,0,0,0,0,0
Mallapur,4500000,1014,2,0,0,0,0,1
Kompally,3900000,1085,2,0,1,1,0,1
Kompally,5800000,1100,2,0,0,0,0,1
Nizampet,3500000,1050,2,0,0,0,0,0
Nizampet,3500000,1050,2,0,0,0,0,0
Kukatpally,11399999,1860,3,0,1,1,0,1
Kukatpally,11399999,1860,3,0,1,1,0,1
Banjara Hills,35000000,3000,3,0,0,0,0,1
Banjara Hills,35000000,3000,3,0,0,0,0,0
Nallagandla Gachibowli,4500000,955,2,0,0,1,0,1
Gandipet,4500000,1155,2,0,1,1,0,1
Nizampet,3500000,1120,2,0,0,0,0,0
Nizampet,3500000,850,2,0,0,0,0,0
Kachiguda,3800000,1000,2,0,0,0,0,0
Kachiguda,3800000,1000,2,0,0,0,0,0
Kachiguda,3800000,1000,2,0,0,0,0,0
Kachiguda,3800000,1000,2,0,0,0,0,0
Kachiguda,3800000,1000,2,0,0,0,0,0
Narsingi,3960000,966,2,0,0,0,0,0
Kachiguda,3800000,1000,2,0,0,0,0,0
Kachiguda,3800000,1000,2,0,0,0,0,0
Mehdipatnam,4100000,1050,2,0,0,0,0,1
Alwal,5500000,1575,3,0,0,0,0,1
Nacharam,9600000,1700,3,0,0,0,0,1
Nacharam,9600000,1700,3,0,0,0,0,1
Pragathi Nagar Kukatpally,6795000,1535,3,0,0,0,0,1
Nizampet,3600000,940,2,0,0,0,0,0
Nizampet,3400000,1060,2,0,0,0,0,0
Nizampet,3500000,1015,2,0,0,0,0,0
Nizampet,3500000,1015,2,0,0,0,0,0
Narsingi,5000000,1600,3,0,0,0,0,1
Kondapur,7000000,1150,2,0,0,0,0,1
Narsingi,5500000,1500,2,0,0,0,0,1
Nizampet,3870000,1000,2,0,0,0,0,0
Kompally,5800000,1208,2,0,0,0,0,1
Toli Chowki,4700000,1000,2,0,0,0,0,1
Kondapur,7000000,1150,2,0,0,0,0,1
Narsingi,5500000,1500,2,0,0,0,0,1
Kukatpally,11299999,1700,3,0,0,0,0,1
Masab Tank,4500000,1170,2,0,0,0,0,1
Kukatpally,7317000,1090,2,0,0,0,0,0
Kukatpally,7317000,1090,2,0,0,0,0,1
Nizampet,3800000,1050,2,0,0,0,0,0
Malkajgiri,4850000,1425,3,0,0,0,0,1
Bolarum,4010000,1060,2,0,0,0,0,0
Bachupally,3550000,1130,2,0,0,0,0,0
Nizampet,3300000,930,2,0,0,0,0,0
Nizampet,3500000,1085,2,0,0,0,0,0
Toli Chowki,7500000,1420,3,0,0,0,0,1
Nizampet,4600000,1120,2,0,0,0,0,0
Appa Junction,8500000,1506,2,0,0,0,0,0
Appa Junction,8500000,1506,2,0,0,0,0,1
Nagole,5500000,1650,3,0,1,0,0,0
Nagole,5500000,1650,3,0,1,0,0,1
Nizampet,3900000,1200,2,0,0,0,0,0
Alwal,4580000,1145,2,0,0,0,0,1
Kokapet,10800000,1875,3,0,1,1,0,1
Kokapet,15200000,2540,3,0,1,1,0,1
Kokapet,15200000,2630,4,0,1,1,0,1
Alwal,4580000,1145,2,0,0,0,0,1
Kondapur,15000000,2450,3,0,0,0,0,1
Alwal,5700000,1425,3,0,0,0,0,1
Mehdipatnam,7200000,1720,3,0,0,0,0,1
Nanakramguda,20000000,2405,3,0,0,0,0,1
Chandanagar,8797000,1725,3,0,0,0,0,1
Kukatpally,10500000,1730,3,0,0,0,0,1
Madhapur,43000000,4070,4,0,1,1,0,1
Miyapur,10000000,2000,3,0,1,1,0,1
Kondapur,10000000,1295,2,0,1,1,0,1
Kondapur,12000000,1490,3,0,1,1,0,1
Miyapur,10700000,1905,3,0,0,0,0,0
Miyapur,10700000,1905,3,0,0,0,0,1
Kondapur,7900000,1525,3,0,0,0,0,1
Manikonda,4900000,1120,2,0,0,0,0,0
Qutub Shahi Tombs,3800000,1080,3,0,0,0,0,0
Toli Chowki,4000000,950,2,0,0,0,0,0
Manikonda,13500000,2700,3,0,0,0,0,0
Narsingi,10000000,1755,3,0,0,0,0,0
Narsingi,10000000,1755,3,0,0,0,0,1
Puppalaguda,6200000,1216,2,0,0,0,0,1
Nallagandla Gachibowli,7000000,1210,2,0,0,0,0,1
Kondapur,7900000,1525,3,0,0,0,0,0
Puppalaguda,6700000,1340,2,0,0,0,0,1
Puppalaguda,6200000,1216,2,0,0,0,0,1
Chandanagar,8452000,1725,2,0,0,0,0,1
Banjara Hills,20000000,2070,3,0,0,0,0,1
Banjara Hills,30200000,3025,4,0,0,0,0,1
Jubilee Hills,12500000,1670,3,0,0,0,0,1
East Marredpally,8200000,1150,2,0,0,0,0,0
Kondapur,6900000,1150,2,0,0,0,0,1
Narsingi,9026000,1600,3,0,0,0,0,0
Narsingi,18200000,2786,3,0,0,0,0,1
Kondapur,8500000,1525,3,0,0,0,0,0
Gajularamaram,6531000,1555,3,0,0,0,0,1
Kondapur,8095000,1315,2,0,1,1,0,1
Kondapur,14000000,2050,3,0,0,0,0,1
Kukatpally,10200000,1675,3,0,0,0,0,1
Gandipet,10000000,1725,3,0,0,0,0,1
Kondapur,10700000,1770,3,0,1,1,0,1
Jubilee Hills,24000000,3200,3,0,0,0,0,1
Jubilee Hills,22000000,1900,3,0,0,0,0,1
Kondapur,21400000,1880,3,0,0,0,0,1
Kondapur,16000000,2050,3,0,0,0,0,1
Nanakramguda,36500000,3600,3,1,1,1,1,1
Gandipet,15000000,2665,3,0,0,0,0,1
Kukatpally,8500000,1216,2,0,0,0,0,1
Banjara Hills,28000000,3031,4,0,0,0,0,1
Kokapet,15500000,2220,3,0,0,0,0,1
Gachibowli,32500000,3448,3,0,0,0,0,1
Madhapur,20700000,3015,3,0,0,0,0,1
Gachibowli,10500000,1430,3,0,0,0,0,1
Abids,28000000,2007,5,0,0,0,0,0
Kukatpally,10300000,1695,3,0,0,0,0,1
Kondapur,11000000,1815,3,0,1,1,0,1
Kondapur,9991000,1630,3,0,1,1,0,1
Chandanagar,8014000,1620,3,0,0,0,0,0
Kistareddypet,4000000,1200,2,0,0,0,0,0
West Marredpally,12500000,1650,2,0,0,0,0,1
Kukatpally,8925000,1550,3,0,0,0,0,1
Kondapur,9296000,1535,3,0,1,1,0,1
Kondapur,7598999,1165,2,0,1,1,0,1
Malkajgiri,8500000,1400,3,0,0,0,0,0
Somajiguda,20000000,2600,3,0,0,0,0,1
Miyapur,5250000,1100,2,0,0,0,0,1
Malkajgiri,4000000,1010,2,0,0,0,0,0
Kondapur,7500000,1195,2,0,1,1,0,1
Kukatpally,5253000,970,2,0,1,1,0,1
Kompally,5800000,1050,2,0,0,0,0,0
Alwal,5085000,1130,2,0,0,0,0,0
Bolarum,12000000,2300,3,0,0,0,0,0
Alwal,3500000,1015,2,0,0,0,0,0
Shaikpet,25500000,2960,4,0,1,0,0,1
Mallapur,6500000,1190,2,0,0,0,0,1
Mallapur,6000000,1190,2,0,0,0,0,1
Puppalaguda,6700000,1340,2,0,0,1,0,1
Shaikpet,16000000,1875,3,0,1,1,0,1
Jubilee Hills,23000000,1900,3,0,1,1,0,1
West Marredpally,19500000,1920,4,0,0,0,0,1
Alwal,5320000,1330,2,0,0,0,0,1
Hitech City,19500000,2350,3,0,1,1,0,1
Pragathi Nagar Kukatpally,4800000,1120,2,0,0,0,0,1
Madhapur,13000000,1924,3,0,0,0,0,0
Sri Nagar Colony,10200000,1575,3,0,0,0,0,1
Hitech City,19500000,2350,3,0,1,1,0,1
Dilsukh Nagar,20000000,3000,4,0,0,0,0,1
Quthbullapur,5900000,1350,3,0,0,0,0,0
Puppalaguda,8500000,1580,3,0,0,0,0,1
Malkajgiri,6000000,1200,2,0,0,0,0,0
Gajularamaram,4710000,1050,2,0,0,0,0,1
Kukatpally,7317000,1090,2,0,0,0,0,1
Kukatpally,11399999,1730,3,0,0,0,0,1
Kondapur,9449000,1535,3,0,1,1,0,1
Kukatpally,11299999,1700,3,0,0,0,0,1
Alwal,4000000,1050,2,0,0,0,0,0
Alwal,5450000,1300,2,0,0,0,0,0
Kondapur,10600000,1770,3,0,1,1,0,1
Alwal,4000000,1050,2,0,0,0,0,0
Alwal,5450000,1300,2,0,0,0,0,0
Kondapur,10600000,1770,3,0,1,1,0,1
Kompally,7500000,1430,3,0,0,0,0,0
Kukatpally,12400000,1800,3,0,0,0,0,1
Alwal,7800000,1530,3,0,0,0,0,0
Miyapur,4800000,1000,2,0,0,0,0,1
Kukatpally,9525000,1905,3,1,1,1,1,1
Kondapur,12200000,1885,3,0,0,0,0,0
Kondapur,12300000,1885,3,0,0,0,0,0
Kondapur,12300000,1885,3,0,0,0,0,1
Moosapet,8800000,1560,3,0,0,0,0,0
Hafeezpet,6798999,1190,2,0,0,0,0,1
Kukatpally,9300000,1450,3,0,1,1,0,1
Kukatpally,9300000,1450,3,0,1,1,0,1
Gajularamaram,4710000,1050,2,0,0,0,0,1
Kondapur,12000000,1875,3,0,0,0,0,0
Gajularamaram,6931000,1555,3,0,0,0,0,1
Sainikpuri,3499000,900,2,0,0,0,0,0
Puppalaguda,7100000,1418,3,0,0,0,0,1
Puppalaguda,7100000,1418,3,0,0,0,0,1
Nizampet,4800000,1125,2,0,0,0,0,1
Nizampet,5500000,1515,3,0,0,0,0,1
Serilingampally,7500000,1600,3,0,0,0,0,1
Serilingampally,5600000,1260,2,0,0,0,0,1
Gachibowli,19400000,2848,4,0,0,0,0,1
Gachibowli,9908000,1492,2,0,0,0,0,1
Gachibowli,8126000,1283,2,0,0,0,0,1
Gachibowli,9110000,1410,2,0,0,0,0,1
Kondapur,14000000,2000,3,0,0,0,0,1
Manikonda,7000000,1463,3,0,0,0,0,1
Kukatpally,11399999,1730,3,0,0,0,0,1
Kondapur,8500000,1600,3,0,0,0,0,0
Manikonda,17000000,2600,3,0,0,0,0,0
West Marredpally,2500000,840,1,0,0,0,0,1
Manikonda,8600000,1725,3,0,0,0,0,1
Banjara Hills,17800000,1980,3,0,0,1,0,1
Banjara Hills,18700000,2085,3,0,0,1,0,1
Banjara Hills,23200000,2580,3,0,0,1,0,1
Banjara Hills,19600000,2185,3,0,0,1,0,1
Banjara Hills,17200000,1920,3,0,0,1,0,1
Banjara Hills,19800000,2210,3,0,0,1,0,1
Qutub Shahi Tombs,4500000,1111,3,0,0,0,0,1
Nizampet,4031000,1161,2,0,0,0,0,1
Sainikpuri,6399000,1500,3,0,0,0,0,1
Sainikpuri,6399000,1500,3,0,0,0,0,1
Puppalaguda,8000000,2021,2,0,0,0,0,1
Manikonda,5200000,1300,3,0,0,0,0,1
Malkajgiri,4000000,1000,2,0,0,0,0,1
East Marredpally,7200000,1060,2,0,0,0,0,1
Kukatpally,80000000,9400,8,0,1,1,0,1
Nizampet,3200000,950,2,0,0,0,0,0
Kapra,3800000,1350,3,0,0,0,0,1
Nagole,6000000,1600,3,0,0,0,0,1
Nacharam,3500000,1000,2,0,0,0,0,1
Nacharam,5000000,1450,3,0,0,0,0,1
Kapra,2800000,1050,2,0,0,0,0,1
Mallapur,3600000,1150,2,0,0,0,0,1
Mallapur,8000000,1900,3,0,0,0,0,1
Nizampet,5034000,1465,3,0,0,0,0,1
Nizampet,4252000,1228,2,0,0,0,0,1
Nizampet,4044000,1165,2,0,0,0,0,1
Nizampet,3849000,1106,2,0,0,0,0,1
Mallapur,3500000,1315,3,0,0,0,0,1
West Marredpally,20000000,3200,3,0,0,0,0,1
Nacharam,4800000,1250,3,0,0,0,0,0
Toli Chowki,4500000,1050,2,0,0,0,0,0
Mallapur,8000000,1900,2,0,0,0,0,1
Beeramguda,3800000,1096,2,0,0,0,0,1
Habsiguda,13500000,1765,3,0,0,0,0,1
Puppalaguda,8000000,2021,2,0,0,0,0,0
KTR Colony,2700000,1005,2,0,0,0,0,1
Mallapur,6000000,1750,3,0,0,0,0,0
Nizampet,3740000,1100,2,0,0,0,0,1
Nizampet,3740000,1100,2,0,0,0,0,1
Nizampet,5280000,1200,2,0,0,0,0,1
Nizampet,5100000,1160,2,0,0,0,0,1
Nizampet,5500000,1060,2,0,0,0,0,0
AS Rao Nagar,6000000,1506,3,0,0,0,0,1
Nizampet,4500000,1165,2,0,0,0,0,1
Tarnaka,6500000,1471,3,0,0,0,0,1
West Marredpally,20000000,3200,3,0,0,0,0,1
Nagole,4500000,1350,3,0,0,0,0,1
Malkajgiri,10100000,1850,3,0,0,0,0,0
Mallapur,5500000,1600,2,0,0,0,0,1
Nacharam,4800000,1250,3,0,0,0,0,0
Toli Chowki,4500000,1050,2,0,0,0,0,0
Mallapur,8000000,1900,2,0,0,0,0,1
Mallapur,3800000,1150,2,0,0,0,0,1
West Marredpally,8000000,1700,3,0,0,0,0,1
Habsiguda,13500000,1765,3,0,0,0,0,1
Mallampet,3000000,1050,1,0,0,0,0,1
Nizampet,3200000,1050,2,0,0,0,0,1
Mallapur,6000000,1750,3,0,0,0,0,0
Nizampet,3400000,1150,2,0,0,0,0,0
East Marredpally,7000000,990,2,0,0,0,0,0
Nagole,5000000,1150,2,0,1,1,0,1
Banjara Hills,22000000,2400,3,0,1,1,0,1
Nizampet,5280000,1200,2,0,0,0,0,1
Nizampet,5500000,1060,2,0,0,0,0,0
Nizampet,5100000,1160,2,0,0,0,0,1
Nizampet,4500000,1165,2,0,0,0,0,1
Manikonda,6000000,1278,2,0,0,0,0,1
Puppalaguda,8000000,2021,2,0,0,0,0,0
Habsiguda,13500000,1765,3,0,0,0,0,1
Puppalaguda,8000000,2021,2,0,0,0,0,0
KTR Colony,2700000,1005,2,0,0,0,0,1
Gachibowli,34000000,3180,3,0,1,1,0,1
Kondapur,34000000,3180,3,0,0,0,0,0
Nizampet,3300000,1000,2,0,0,0,0,1
East Marredpally,6900000,987,2,0,0,0,0,0
West Marredpally,3200000,1075,2,0,0,0,0,0
Kukatpally,2000000,600,1,0,0,0,0,1
Habsiguda,7000000,1400,3,0,0,0,0,0
Puppalaguda,4600000,1300,3,0,0,0,0,1
Puppalaguda,4600000,1300,3,0,0,0,0,1
Manikonda,7000000,1490,3,0,0,0,0,1
East Marredpally,8599000,1275,2,0,0,0,0,0
Beeramguda,3800000,1096,2,0,0,0,0,1
Nizampet,3740000,1100,2,0,0,0,0,1
Mallapur,3500000,1000,2,0,0,0,0,0
Nizampet,3570000,1050,2,0,0,0,0,1
Nizampet,3740000,1100,2,0,0,0,0,1
Nizampet,3740000,1100,2,0,0,0,0,1
Bollaram,3300000,1450,3,0,0,0,0,0
Appa Junction Peerancheru,6742000,1376,2,0,1,1,0,1
Appa Junction Peerancheru,9662000,1972,3,0,1,1,0,1
Appa Junction Peerancheru,5782000,1180,2,0,1,1,0,1
Appa Junction Peerancheru,7614000,1554,3,0,1,1,0,1
Appa Junction Peerancheru,7977000,1628,3,0,1,1,0,1
Appa Junction Peerancheru,6242000,1274,2,0,1,1,0,1
Appa Junction Peerancheru,8741000,1784,3,0,1,1,0,1
Appa Junction Peerancheru,8761000,1788,3,0,1,1,0,1
Appa Junction Peerancheru,6859999,1400,2,0,1,1,0,1
Appa Junction Peerancheru,9633000,1966,3,0,1,1,0,1
Appa Junction Peerancheru,7359000,1502,3,0,1,1,0,1
Appa Junction Peerancheru,8364000,1707,3,0,1,1,0,1
Appa Junction Peerancheru,8045000,1642,3,0,1,1,0,1
Appa Junction Peerancheru,7286000,1487,2,0,1,1,0,1
Appa Junction Peerancheru,8001000,1633,3,0,1,1,0,1
Appa Junction Peerancheru,8820000,1800,3,0,1,1,0,1
Appa Junction Peerancheru,9197000,1877,3,0,1,1,0,1
Appa Junction Peerancheru,7467000,1524,2,0,1,1,0,1
Appa Junction Peerancheru,6497000,1326,2,0,1,1,0,1
Appa Junction Peerancheru,7178000,1465,2,0,1,1,0,1
Appa Junction Peerancheru,7825000,1597,3,0,1,1,0,1
Miyapur,9075000,1265,2,0,0,0,0,1
Miyapur,10100000,1945,3,0,0,0,0,1
Kukatpally,7962000,1435,3,0,1,1,0,1
Miyapur,12700000,1925,3,0,0,0,0,1
Miyapur,9075000,1265,2,0,0,0,0,1
Kukatpally,10700000,1905,3,1,1,1,1,1
Kukatpally,6168000,1090,2,0,1,1,0,1
Kukatpally,6895999,1230,2,0,1,1,0,1
Kukatpally,10700000,1920,3,1,1,1,1,1
